date,tmin,tmax,tmin_percent,tmax_percent
05-06-2022,7.6,17.6,100,100
06-06-2022,2.8,19.1,100,100
07-06-2022,3.6,17.6,100,100
08-06-2022,1.5,16.2,100,100
09-06-2022,4.5,15,100,100
10-06-2022,2.6,22.9,100,100
11-06-2022,2.1,21.9,100,100
12-06-2022,0.8,18.7,100,100
13-06-2022,2.6,12.7,100,100
14-06-2022,4,10.4,100,100
15-06-2022,-1.1,13.8,100,100
16-06-2022,6.4,13.4,100,100
17-06-2022,0.7,14.8,100,100
18-06-2022,0.4,16,100,100
19-06-2022,4.2,14.5,100,100
20-06-2022,4.2,12,100,100
21-06-2022,3.2,11.4,100,100
22-06-2022,4.2,12.6,100,100
23-06-2022,6.5,13.9,100,100
24-06-2022,3.5,11.1,100,100
25-06-2022,4,15.8,100,100
