date,temp,rh,pressure,rs,wind,t_p ,Hr_p,pa_p ,rs_p ,wind_p 
05-06-2022,12.6,64,964,8.2,9.8,100,100,100,100,100
06-06-2022,11,64.6,964,12.2,6.2,100,100,100,100,100
07-06-2022,10.6,70.8,961,11.4,7.1,100,100,100,100,100
08-06-2022,8.8,76,965,9.9,7.1,100,100,100,100,100
09-06-2022,9.8,78.8,967,6.5,4.6,100,100,100,100,100
10-06-2022,12.8,56.6,962,11.4,3.9,100,100,100,100,100
11-06-2022,12,55.2,962,12,7.9,100,100,100,100,100
12-06-2022,9.8,67.6,962,9.9,8.1,100,100,100,100,100
13-06-2022,7.6,79.6,960,8.8,9.8,100,100,100,100,100
14-06-2022,7.2,78.6,963,5.1,6.9,100,100,100,100,100
15-06-2022,6.4,75.4,964,10.5,6.6,100,100,100,100,100
16-06-2022,9.9,70.7,967,8.5,6.2,100,100,100,100,100
17-06-2022,7.8,67.6,968,11.1,4.6,100,100,100,100,100
18-06-2022,8.2,59.1,963,9.5,7.5,100,100,100,100,100
19-06-2022,9.4,58.6,963,5.6,6.4,100,100,100,100,100
20-06-2022,8.1,70.4,960,5.1,8.4,100,100,100,100,100
21-06-2022,7.3,76.4,959,5.6,5.7,100,100,100,100,100
22-06-2022,8.4,72.2,956,5.7,6.4,100,100,100,100,100
23-06-2022,10.2,74.6,960,4.6,11.3,100,100,100,100,100
24-06-2022,7.3,79.5,963,4.2,4.5,100,100,100,100,100
25-06-2022,9.9,70,960,8.9,4.9,100,100,100,100,100

